path,id,model1_infected,model1_class,model1_probs,model2_infected,model2_class,model2_probs,model3_infected,model3_class,model3_probs
2,212,0.8089014887809753,1,"[0.19109849631786346, 0.8089014887809753]",0.0003484823100734502,0,"[0.9996515512466431, 0.0003484823100734502]",1.5575858924421482e-05,0,"[0.9999843835830688, 1.5575858924421482e-05]"
2,213,0.057891085743904114,0,"[0.9421088695526123, 0.057891085743904114]",0.0003426542389206588,0,"[0.999657392501831, 0.0003426542389206588]",0.0005103661678731441,0,"[0.9994896650314331, 0.0005103661678731441]"
2,301,0.9997699856758118,1,"[0.00023003073874861002, 0.9997699856758118]",1.0,1,"[2.2185087100723422e-11, 1.0]",0.0009949072264134884,0,"[0.999005138874054, 0.0009949072264134884]"
2,302,0.9999960660934448,1,"[3.933668267563917e-06, 0.9999960660934448]",0.48170384764671326,0,"[0.5182961225509644, 0.48170384764671326]",0.0002052498166449368,0,"[0.9997947812080383, 0.0002052498166449368]"
2,303,0.3355661630630493,0,"[0.6644338965415955, 0.3355661630630493]",1.0,1,"[6.475843750131105e-10, 1.0]",1.717107261356432e-05,0,"[0.9999828338623047, 1.717107261356432e-05]"
2,304,0.9735831022262573,1,"[0.026416869834065437, 0.9735831022262573]",0.9990298748016357,1,"[0.0009701123926788568, 0.9990298748016357]",0.0038852442521601915,0,"[0.9961147308349609, 0.0038852442521601915]"
2,306,0.9989951252937317,1,"[0.001004914054647088, 0.9989951252937317]",0.999985933303833,1,"[1.4018167348694988e-05, 0.999985933303833]",0.00035123247653245926,0,"[0.9996488094329834, 0.00035123247653245926]"
2,307,0.01060754805803299,0,"[0.9893923997879028, 0.01060754805803299]",1.0,1,"[9.219587766839954e-12, 1.0]",2.421427325316472e-08,0,"[1.0, 2.421427325316472e-08]"
2,308,0.6835002899169922,1,"[0.3164997100830078, 0.6835002899169922]",0.1332881599664688,0,"[0.8667117953300476, 0.1332881599664688]",0.00018609674589242786,0,"[0.999813973903656, 0.00018609674589242786]"
2,309,0.4692401587963104,0,"[0.5307598114013672, 0.4692401587963104]",1.0,1,"[7.141572749835845e-11, 1.0]",2.6812199394044e-06,0,"[0.9999973773956299, 2.6812199394044e-06]"
2,310,0.3250369131565094,0,"[0.674963116645813, 0.3250369131565094]",0.9997958540916443,1,"[0.0002041303232545033, 0.9997958540916443]",8.693671588844154e-06,0,"[0.9999912977218628, 8.693671588844154e-06]"
2,401,0.9999959468841553,1,"[4.029652245662874e-06, 0.9999959468841553]",1.0,1,"[8.047058977283736e-14, 1.0]",0.2793065905570984,0,"[0.7206934690475464, 0.2793065905570984]"
2,402,0.999998927116394,1,"[1.0227245184069034e-06, 0.999998927116394]",0.9999991655349731,1,"[7.79386937210802e-07, 0.9999991655349731]",0.3280250132083893,0,"[0.6719750165939331, 0.3280250132083893]"
2,403,0.9999982118606567,1,"[1.8415191789245e-06, 0.9999982118606567]",1.0,1,"[1.0813398787501427e-12, 1.0]",0.998362123966217,1,"[0.0016378303989768028, 0.998362123966217]"
2,404,0.9997517466545105,1,"[0.00024830608163028955, 0.9997517466545105]",1.0,1,"[6.237946825748963e-10, 1.0]",0.007550845853984356,0,"[0.992449164390564, 0.007550845853984356]"
2,405,0.9834064245223999,1,"[0.016593661159276962, 0.9834064245223999]",1.0,1,"[1.2107071360809973e-14, 1.0]",0.000246852490818128,0,"[0.9997531771659851, 0.000246852490818128]"
2,406,0.9933817386627197,1,"[0.006618250627070665, 0.9933817386627197]",0.9978777170181274,1,"[0.0021223248913884163, 0.9978777170181274]",9.989247473640717e-07,0,"[0.9999990463256836, 9.989247473640717e-07]"
2,407,0.5752654075622559,1,"[0.424734503030777, 0.5752654075622559]",1.0,1,"[3.8376299360542987e-10, 1.0]",1.87557907338487e-05,0,"[0.9999812841415405, 1.87557907338487e-05]"
2,408,0.5752654075622559,1,"[0.424734503030777, 0.5752654075622559]",1.0,1,"[3.8376299360542987e-10, 1.0]",1.87557907338487e-05,0,"[0.9999812841415405, 1.87557907338487e-05]"
2,409,0.9999886751174927,1,"[1.1336906936776359e-05, 0.9999886751174927]",1.0,1,"[7.686292574637932e-11, 1.0]",0.2989227771759033,0,"[0.7010772228240967, 0.2989227771759033]"
2,410,0.9999604225158691,1,"[3.9585291233379394e-05, 0.9999604225158691]",0.9999996423721313,1,"[3.3249673947466363e-07, 0.9999996423721313]",0.00487179821357131,0,"[0.9951281547546387, 0.00487179821357131]"
2,501,0.9999998807907104,1,"[1.754282124011297e-07, 0.9999998807907104]",1.0,1,"[2.0581983339873489e-10, 1.0]",0.954695999622345,1,"[0.045304033905267715, 0.954695999622345]"
2,502,1.0,1,"[2.014906641534253e-08, 1.0]",1.0,1,"[3.493016154099138e-10, 1.0]",0.9961563944816589,1,"[0.0038436742033809423, 0.9961563944816589]"
2,503,0.9999963045120239,1,"[3.7156314647290856e-06, 0.9999963045120239]",1.0,1,"[1.9514816845811467e-11, 1.0]",0.6524102687835693,1,"[0.3475897014141083, 0.6524102687835693]"
2,504,0.9997546076774597,1,"[0.0002453765191603452, 0.9997546076774597]",0.9999988079071045,1,"[1.2293943427721388e-06, 0.9999988079071045]",0.20123863220214844,0,"[0.7987613677978516, 0.20123863220214844]"
2,505,0.9999991655349731,1,"[8.840012810651388e-07, 0.9999991655349731]",1.0,1,"[3.303197992909901e-11, 1.0]",0.9999982118606567,1,"[1.7791819573176326e-06, 0.9999982118606567]"
